time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
477,-1,0,0,0,5,0.0000
909,-1,0,0,0,0,0.0000
1350,-1,0,0,0,0,0.0000
1785,-1,0,0,0,0,0.0000
2225,-1,0,0,0,0,0.0000
2663,-1,0,0,0,0,0.0000
3098,-1,0,0,0,0,0.0000
3543,-1,0,0,0,0,0.0000
3982,-1,0,0,0,0,0.0000
4425,-1,0,0,0,0,0.0000
4862,-1,0,0,0,0,0.0000
5309,-1,0,0,0,0,0.0000
5755,-1,0,0,0,0,0.0000
6192,-1,0,0,0,0,0.0000
6632,-1,0,0,0,0,0.0000
7069,-1,0,0,0,0,0.0000
7517,-1,0,0,0,0,0.0000
7959,-1,0,0,0,0,0.0000
8409,-1,0,0,0,0,0.0000
8844,-1,0,0,0,0,0.0000
9288,-1,0,0,0,0,0.0000
9725,-1,0,0,0,0,0.0000
10163,-1,0,0,0,0,0.0000
10610,-1,0,0,0,0,0.0000
11055,-1,0,0,0,0,0.0000
11501,-1,0,0,0,0,0.0000
11939,-1,0,0,0,0,0.0000
12383,-1,0,0,0,0,0.0000
12820,-1,0,0,0,0,0.0000
13263,-1,0,0,0,0,0.0000
13712,-1,0,0,0,0,0.0000
14149,-1,0,0,0,0,0.0000
14598,-1,0,0,0,0,0.0000
15043,-1,0,0,0,0,0.0000
15490,-1,0,0,0,0,0.0000
15926,-1,0,0,0,0,0.0000
16373,-1,0,0,0,0,0.0000
16821,-1,0,0,0,0,0.0000
17263,-1,0,0,0,0,0.0000
17701,-1,0,0,0,0,0.0000
18143,-1,0,0,0,0,0.0000
18585,-1,0,0,0,0,0.0000
19026,-1,0,0,0,0,0.0000
19471,-1,0,0,0,0,0.0000
19908,-1,0,0,0,0,0.0000
20354,1,2,2,0,0,0.0000
20799,1,2,2,0,0,0.0000
21250,1,2,2,0,0,0.0000
21694,2,3,3,0,0,0.0000
22160,4,5,5,0,0,0.0000
22619,4,5,5,0,0,0.0000
23071,5,6,6,0,0,0.0000
23542,7,8,8,0,0,0.0000
24003,9,10,11,0,0,0.0000
24476,10,10,12,0,0,0.0000
24956,10,10,12,0,0,0.0000
25423,10,10,12,0,0,0.0000
25886,11,11,13,0,0,0.0000
26376,12,11,15,0,0,0.0000
26857,12,11,15,0,0,0.0000
27349,12,11,15,0,0,0.0000
27817,14,13,17,0,0,0.0000
28324,15,13,18,0,0,0.0000
28804,15,13,18,0,0,0.0000
29298,16,14,19,0,0,0.0000
29787,16,14,19,0,0,0.0000
30286,16,14,19,0,0,0.0000
30780,16,14,19,0,0,0.0000
31286,18,15,21,13,16,0.8125
31779,19,17,23,14,17,0.8235
32287,19,17,23,14,17,0.8235
32788,19,17,23,14,17,0.8235
33296,21,18,25,12,15,0.8000
33839,21,18,25,12,15,0.8000
34364,21,18,25,12,15,0.8000
34896,21,18,25,12,15,0.8000
35414,23,20,26,12,15,0.8000
35927,23,20,26,12,15,0.8000
36464,24,22,28,12,15,0.8000
36966,25,22,30,13,16,0.8125
37480,26,22,31,18,23,0.7826
37988,28,25,34,19,24,0.7917
38541,28,25,34,22,26,0.8462
39081,28,25,34,22,26,0.8462
39620,30,26,36,22,25,0.8800
