0,-1,0,0,0,0
457,-1,0,0,0,1
898,-1,0,0,0,0
1324,-1,0,0,0,0
1752,-1,0,0,0,0
2178,-1,0,0,0,0
2605,-1,0,0,0,0
3033,-1,0,0,0,0
3460,-1,0,0,0,0
3890,-1,0,0,0,0
4313,-1,0,0,0,0
4742,-1,0,0,0,0
5169,-1,0,0,0,0
5600,-1,0,0,0,0
6031,-1,0,0,0,0
6459,-1,0,0,0,0
6894,-1,0,0,0,0
7322,-1,0,0,0,0
7754,-1,0,0,0,0
8185,-1,0,0,0,0
8612,-1,0,0,0,0
9040,-1,0,0,0,0
9467,-1,0,0,0,0
9899,-1,0,0,0,0
10325,-1,0,0,0,0
10756,-1,0,0,0,0
11190,-1,0,0,0,0
11619,-1,0,0,0,0
12056,-1,0,0,0,0
12484,-1,0,0,0,0
12916,-1,0,0,0,0
13349,-1,0,0,0,0
13775,-1,0,0,0,0
14205,-1,0,0,0,0
14634,-1,0,0,0,0
15065,-1,0,0,0,0
15493,-1,0,0,0,0
15925,-1,0,0,0,0
16366,-1,0,0,0,0
16796,-1,0,0,0,0
17231,-1,0,0,0,0
17663,0,1,1,0,0
18096,0,1,1,0,0
18528,0,1,1,0,0
18958,2,3,3,1,1
19394,2,3,3,1,1
19829,2,3,3,1,1
20270,2,3,3,1,1
20703,2,3,3,1,1
21139,2,3,3,2,2
21590,2,3,3,2,2
22022,3,4,4,2,2
22466,3,4,4,2,2
22902,3,4,4,2,2
23353,3,4,4,2,2
23789,3,4,4,2,2
24231,4,4,5,2,2
24675,4,4,5,2,2
25112,5,5,6,2,2
25557,6,6,7,2,2
26000,6,6,7,3,3
26452,8,6,9,3,3
26899,8,6,9,3,3
27366,8,6,9,3,3
27818,10,6,11,3,3
28269,10,6,11,3,3
28726,10,6,11,3,3
29179,11,7,12,3,3
29643,11,7,12,3,3
30095,11,7,12,3,3
30555,11,7,12,3,3
31015,11,7,12,3,3
31470,11,7,12,3,3
31927,12,7,15,3,3
32390,12,7,15,3,3
32869,13,7,16,3,3
33334,15,8,18,3,3
33803,15,8,18,3,3
34270,15,8,18,3,3
34736,16,9,19,3,3
35209,17,10,20,3,3
35683,19,12,22,3,3
36162,20,13,23,3,3
36642,21,14,24,3,3
37129,23,17,27,3,3
37621,23,17,27,3,3
38105,23,17,27,3,3
38597,23,17,27,3,3
39102,23,17,27,3,3
39593,23,17,27,3,3
40074,23,17,27,3,3
40562,23,17,27,3,3
41055,23,17,27,3,3
41541,24,17,28,3,3
42035,25,18,29,3,3
42527,25,18,29,3,3
43029,26,19,30,3,3
43525,26,19,30,3,3
